image,gt,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit\VOC2012\JPEGImages\2008_000002.jpg,['tvmonitor'],0.0013806202914565804,0.00025330460630357265,0.00023803574731573462,0.003119997913017869,0.05192672461271286,0.0014583880547434092,0.8721204996109009,0.0003308708255644888,4.8373127356171615e-05,0.00015140805044211447,3.200118226232007e-05,0.002400885568931699,3.159963671350852e-05,0.0002948258479591459,0.0032340383622795343,7.264537998707965e-05,6.23643063590862e-05,0.00038824579678475857,0.0015037839766591787,0.18187250196933746
../data/VOCdevkit\VOC2012\JPEGImages\2008_000003.jpg,"['person', 'train']",0.0011504670837894082,0.00014070936595089734,0.0007931941654533148,0.06784120947122574,9.389512706547976e-05,0.011858499608933927,0.0007788345101289451,3.401625144761056e-05,9.720879461383448e-05,9.935849811881779e-05,1.2134098142269067e-05,0.0003145848750136793,0.00012643779336940494,0.00013248100003693253,0.010563020594418049,0.0001805736537789926,0.00012620375491678715,4.628139140550047e-05,0.17981122434139252,0.002270868513733149
../data/VOCdevkit\VOC2012\JPEGImages\2008_000007.jpg,['boat'],0.004007149953395128,1.714072459435556e-05,0.00010604612907627596,0.4587180316448212,0.9986538887023926,1.7075024516088888e-05,0.0008550146012566984,4.4959091383134364e-07,1.0672691814761492e-06,6.348127499222755e-06,7.262938015628606e-05,6.351801130222157e-05,3.8737976865377284e-05,2.39466112361697e-06,0.000688703206833452,2.457150458212709e-06,7.770649062877055e-06,6.0150650824652985e-06,0.013816054910421371,1.362617240374675e-05
../data/VOCdevkit\VOC2012\JPEGImages\2008_000009.jpg,['cow'],0.0003119272296316921,0.0006610542186535895,0.00011383566743461417,0.0011381773510947824,8.288717071991414e-05,0.0002730877313297242,0.0001415088772773743,8.493074687976332e-07,6.5141871345986155e-06,0.3029192388057709,1.2743477782350965e-05,0.00016276061069220304,0.0018796614604070785,3.475717312539928e-05,0.0001499115751357749,0.00021724759426433596,0.060049708932638175,1.1172624908795116e-05,0.001079968991689384,2.2481292035081424e-05
../data/VOCdevkit\VOC2012\JPEGImages\2008_000016.jpg,['tvmonitor'],0.0010919683845713737,0.0014366002287715671,7.324002945097163e-05,0.0004618441744241864,0.001264317077584565,0.0011552524520084262,0.002489284612238407,2.8285687221796252e-05,0.00029488824657164514,2.4998489607241933e-05,4.408065251482185e-06,0.00035488774301484227,6.455897619161988e-06,3.465311965555884e-05,0.0012230456341058016,2.8203343390487128e-05,8.31879151519388e-06,5.832496026414447e-05,0.00016957867774181068,0.996516227722168
../data/VOCdevkit\VOC2012\JPEGImages\2008_000021.jpg,['aeroplane'],0.9995386600494384,0.00015140617324505,2.984989123433479e-06,3.045304947590921e-05,8.165621693478897e-06,0.00024468265473842615,1.7276905055041425e-05,8.214244076043542e-07,2.315186520718271e-06,3.418437700020149e-05,1.843371319409925e-05,0.00026314647402614355,2.0960216716048308e-05,0.00030220861663110554,0.001778489677235484,2.4870085326256227e-05,5.517550016520544e-05,6.124236097093672e-05,1.522731690783985e-05,2.737717477430124e-05
../data/VOCdevkit\VOC2012\JPEGImages\2008_000026.jpg,"['dog', 'person']",3.3311798688373533e-06,0.044967547059059136,0.004640462342649697,9.461976151214913e-05,0.0380873829126358,6.453494279412553e-05,0.00016330501239281148,0.0006311848410405219,0.004306898452341557,0.008561709895730019,0.001146511058323085,0.01994767226278782,8.321410132339224e-05,7.206050213426353e-05,0.9998929500579834,0.00034536150633357465,0.01076423842459917,1.697080188023392e-05,0.0005559659330174327,0.00016515627794433385
../data/VOCdevkit\VOC2012\JPEGImages\2008_000027.jpg,['car'],5.853629318153253e-06,0.0017192012164741757,7.522396572312573e-07,6.748276064172387e-05,5.10458521603141e-05,3.2351506433769823e-06,1.0,0.00010774326801765709,2.367794195379247e-06,2.270454751851503e-05,1.7807775520850555e-06,0.005692007951438427,6.652320649891408e-08,0.0002728717227000743,0.006276450585573912,1.6787864751677264e-06,2.0865825263172155e-06,1.5385913911813989e-06,4.620443723979406e-05,1.0749640750873368e-06
../data/VOCdevkit\VOC2012\JPEGImages\2008_000032.jpg,"['bus', 'person']",6.25621250947006e-05,0.003694481449201703,0.00016151885211002082,3.3374377380823717e-05,8.984102169051766e-05,0.9996601343154908,0.0017620726721361282,2.3601973225595433e-05,2.6559220714261755e-05,7.770694355713205e-05,0.00012794509530067444,1.9012793927686292e-05,1.3242888599052096e-05,9.173712896881624e-05,0.18431508541107175,0.0002603978791739792,0.0003406803007237613,3.8722133467672386e-05,0.002907643094658852,2.568361560406629e-05
../data/VOCdevkit\VOC2012\JPEGImages\2008_000034.jpg,"['bottle', 'person']",8.94139247975545e-06,0.0005143953603692354,7.264662599482108e-06,9.748426236910747e-06,0.9918619394302368,1.0895832929236349e-05,0.00026231657830066984,0.0006788027822040021,0.00018990582611877468,9.556506847729906e-05,0.00017694562848191708,0.002435492817312479,3.0189974495442584e-05,3.8353486161213375e-05,0.9999209642410278,9.457825217396021e-05,0.0002297444880241528,0.0006251962040551008,5.417827924247831e-05,0.0007398817106150091
